admin,admin,admin,ADMIN,ACCOUNT,MANAGER,yes
LK01,password123,password123,Lauren,Klimt,MANAGER,yes
CY01,password123,password123,Colin,Yang,MANAGER,yes
TK01,password123,password123,Tripta,Kaur,MANAGER,yes
LL01,password123,password123,Leonard,Lee,WAITER,yes
JS01,password123,password123,John,Smith,WAITER,yes
LK02,password123,password123,Lisa,Kay,WAITER,yes
MJ01,password123,password123,Mary,Johnson,WAITER,no
AS01,password123,password123,Angus,Suttor,KITCHEN,yes
MD01,password123,password123,Michael,Davis,KITCHEN,yes
JS02,password123,password123,Jessica,Smith,KITCHEN,yes
AM01,password123,password123,Anne,Miller,KITCHEN,no
JB01,password123,password123,John,Brown,KITCHEN,no
